"accepted.taxa.name","min_nu.biovol","mn_nu.biovol","mdn_nu.biovol","max_nu.biovol","sd_nu.biovol","n","mn_cells.per.nu","n_sources","w.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species"
"Micractinium quadrisetum",1.75243260926147,1.75243260926147,1.75243260926147,1.75243260926147,NA,1,1,1,6327,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Chlorococcales","Micractiniaceae","Micractinium","quadrisetum"
"Micrasterias arcuata",4.81464706945186,5.13279917463074,5.19830235992168,5.36595385271771,0.184886342998746,11,NA,1,8450,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Micrasterias","arcuata"
"Micrasterias truncata",4.85191846374533,5.03231398678007,5.03231398678007,5.2127095098148,0.255117795267106,2,NA,1,8425,"Species","Plantae","Viridaeplantae","Streptophyta","Charophyta","Conjugophytina",NA,"Conjugophyceae",NA,"Zygnematales","Desmidiaceae","Micrasterias","truncata"
"Microcoleus lacustris",1.63447727016073,1.63447727016073,1.63447727016073,1.63447727016073,NA,1,NA,1,911,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Nostocales","Oscillatoriaceae","Microcoleus","lacustris"
"Microcystis aeruginosa",0.849333406373724,2.73337459278697,2.84498313209405,4.80345401176024,1.03323209372862,1379,30.7179019253911,6,750,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Microcystis","aeruginosa"
"Microcystis flosaquae",5.71899862596144,6.82302048762722,6.62208860880618,7.52517859631652,0.629651822542931,24,1,1,761,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Microcystis","flosaquae"
"Microspora amoena",4.24726112688047,4.24726112688047,4.24726112688047,4.24726112688047,NA,1,NA,1,9296,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Microsporales","Microsporaceae","Microspora","amoena"
"Microspora pachyderma",2.10037054511756,2.16032054278147,2.1846914308176,2.19589965240923,0.0522198020174168,3,NA,1,9303,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Microsporales","Microsporaceae","Microspora","pachyderma"
"Microspora willeana",1.88930170250631,2.1391189500435,2.03252922482692,2.73209016352825,0.258665957579339,61,NA,1,9306,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Microsporales","Microsporaceae","Microspora","willeana"
"Microthamnion kuetzingianum",1.46982201597816,1.78085997347128,1.79403720414064,2.13033376849501,0.263833308586801,6,NA,1,6677,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Chlorophyceae",NA,"Chaetophorales","Chaetophoraceae","Microthamnion","kuetzingianum"
"Minuscula bipes",2.57632983030548,3.07130590939658,3.16179310319488,3.43366424674135,0.338654344594089,5,1,1,10209,"Species","Chromista","Chromista",NA,"Pyrrophycophyta",NA,NA,"Dinophyceae",NA,"Peridiniales","Peridiniaceae","Minuscula","bipes"
"Monoraphidium contortum",0.856304609586887,1.73614155452776,1.80720304744147,2.62736585659273,0.433362939876829,1254,1,3,5991,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Trebouxiophyceae",NA,"Oocystales","Oocystaceae","Monoraphidium","contortum"
"Monoraphidium griffithii",1.7619538968712,2.05488307796276,1.99172747403401,2.48350805338106,0.180232891796307,907,1,2,5992,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Trebouxiophyceae",NA,"Oocystales","Oocystaceae","Monoraphidium","griffithii"
"Nannochloris atomus",0.548303410709743,0.548303410709743,0.548303410709743,0.548303410709743,0,9,1,1,5826,"Species","Plantae","Viridaeplantae","Chlorophyta","Chlorophyta","Chlorophytina",NA,"Trebouxiophyceae",NA,"Oocystales","Oocystaceae","Nannochloris","atomus"
"Navicula aboensis",2.20411998265592,2.33267159857643,2.38021124171161,2.45939248775923,0.0990373973568444,15,NA,1,3776,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","aboensis"
"Navicula absoluta",2.14301480025409,2.33660724922859,2.33660724922859,2.53019969820308,0.27378106691275,2,NA,1,3792,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","absoluta"
"Navicula abunda",2.92427928606188,3.01573021594675,3.02118929906994,3.07918124604762,0.0495482496575118,13,NA,1,3777,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","abunda"
"Navicula agnita",1.27875360095283,1.82550403371697,1.93028877562221,2.18184358794477,0.324105650848995,6,NA,1,3778,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","agnita"
"Navicula angusta",2.28330122870355,2.93746448032379,3.10037054511756,3.20951501454263,0.278178598842735,68,NA,1,3824,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","angusta"
"Navicula arvensis",1.17609125905568,1.69187330055598,1.68124123737559,2.05307844348342,0.198400904731779,84,NA,1,3737,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","arvensis"
"Navicula atomus",1.02118929906994,1.39679903110994,1.39093510710338,1.80277372529198,0.187541049081303,157,NA,1,3804,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","atomus"
"Navicula bahusiensis",2.60097289568675,2.60097289568675,2.60097289568675,2.60097289568675,NA,1,NA,1,4086,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","bahusiensis"
"Navicula bicephala",1.80413943233535,1.82233400362309,1.8228216453031,1.83442070368153,0.00796561298144141,14,NA,1,3816,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","bicephala"
"Navicula biconica",1.29446622616159,1.44423147859437,1.43933269383026,1.59769518592551,0.0692498013404278,91,NA,1,555633,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","biconica"
"Navicula bremensis",1.52891670027765,1.58669344726092,1.55630250076729,1.67486114073781,0.0775735273588297,3,NA,1,3817,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","bremensis"
"Navicula bryophila",1.63042787502502,1.63042787502502,1.63042787502502,1.63042787502502,NA,1,NA,1,3818,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","bryophila"
"Navicula canalis",1.81157500587059,2.29061321087469,2.38381165808659,2.84509804001426,0.316657696017218,46,NA,1,591360,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","canalis"
"Navicula capitatoradiata",2.21218760440396,2.70121027617357,2.71432975974523,3.14457420760962,0.179191270210815,289,NA,1,591359,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","capitatoradiata"
"Navicula cari",1.78746047451842,2.18711259737758,2.14921911265538,2.59439255037543,0.18701391046348,225,NA,1,3821,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","cari"
"Navicula cincta",1.84385542262316,2.19848160547291,2.16878952507157,2.90633504180509,0.203420122352502,122,NA,1,3741,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","cincta"
"Navicula circumtexta",2.08635983067475,2.36165646297751,2.31774187340746,2.68124123737559,0.191114128305101,20,NA,1,3827,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","circumtexta"
"Navicula citrus",2.51719589794997,2.51719589794997,2.51719589794997,2.51719589794997,0,2,NA,1,3828,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","citrus"
"Navicula clementis",3.22530928172586,3.42956552243006,3.4963760540124,3.55630250076729,0.132152922648381,5,NA,1,3657,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Naviculales","Naviculaceae","Navicula","clementis"
